Sample_Name1	Sample_Name2	Grn	Red
KAZU_01	KAZU_01	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R01C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R01C01_Red.idat
KAZU_02	KAZU_02	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R02C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R02C01_Red.idat
KAZU_03	KAZU_03	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R03C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R03C01_Red.idat
KAZU_04	KAZU_04	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R04C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R04C01_Red.idat
KAZU_05	KAZU_05	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R05C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R05C01_Red.idat
KAZU_06	KAZU_06	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R06C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R06C01_Red.idat
KAZU_07	KAZU_07	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R07C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R07C01_Red.idat
KAZU_08	KAZU_08	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R08C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207222790009_R08C01_Red.idat
YS_001	YS_001	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R01C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R01C01_Red.idat
YS_002	YS_002	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R02C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R02C01_Red.idat
YS_003	YS_003	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R03C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R03C01_Red.idat
YS_004	YS_004	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R04C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R04C01_Red.idat
YS_005	YS_005	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R05C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R05C01_Red.idat
YS_006	YS_006	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R06C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R06C01_Red.idat
YS_007	YS_007	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R07C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R07C01_Red.idat
YS_008	YS_008	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R08C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838720091_R08C01_Red.idat
YS_009	YS_009	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R01C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R01C01_Red.idat
YS_010	YS_010	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R02C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R02C01_Red.idat
YS_011	YS_011	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R03C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R03C01_Red.idat
YS_012	YS_012	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R04C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R04C01_Red.idat
YS_013	YS_013	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R05C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R05C01_Red.idat
YS_014	YS_014	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R06C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R06C01_Red.idat
YS_015	YS_015	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R07C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R07C01_Red.idat
YS_016	YS_016	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R08C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207851030052_R08C01_Red.idat
YS_017	YS_017	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R01C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R01C01_Red.idat
YS_018	YS_018	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R02C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R02C01_Red.idat
YS_019	YS_019	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R03C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R03C01_Red.idat
YS_020	YS_020	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R04C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R04C01_Red.idat
YS_021	YS_021	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R05C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R05C01_Red.idat
YS_022	YS_022	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R06C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R06C01_Red.idat
YS_023	YS_023	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R07C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R07C01_Red.idat
YS_024	YS_024	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R08C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730082_R08C01_Red.idat
YS_025	YS_025	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730049_R01C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730049_R01C01_Red.idat
YS_026	YS_026	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730049_R02C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730049_R02C01_Red.idat
YS_027	YS_027	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730049_R03C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730049_R03C01_Red.idat
YS_028	YS_028	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730049_R04C01_Grn.idat	/data/share/project/analysis/analysis/KK-PJ20240701/rawdata_all/207838730049_R04C01_Red.idat
