Sample_Name1	Sample_Name2	Grn	Red
YS_002	YS_002	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R08C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R08C01_Red.idat
YS_003	YS_003	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R06C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R06C03_Red.idat
YS_009	YS_009	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R04C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R04C01_Red.idat
YS_010	YS_010	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R09C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R09C01_Red.idat
YS_015	YS_015	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R01C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R01C03_Red.idat
YS_018	YS_018	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R09C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R09C02_Red.idat
YS_020	YS_020	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R01C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R01C01_Red.idat
YS_025	YS_025	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R05C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R05C03_Red.idat
YS_028	YS_028	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R15C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R15C03_Red.idat
YS_066	YS_066	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R13C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R13C01_Red.idat
YS_069	YS_069	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R12C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R12C01_Red.idat
YS_073	YS_073	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R13C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R13C03_Red.idat
YS_074	YS_074	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R16C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R16C01_Red.idat
YS_075	YS_075	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R08C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R08C02_Red.idat
YS_078	YS_078	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R14C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R14C03_Red.idat
YS_079	YS_079	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R03C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R03C03_Red.idat
YS_091	YS_091	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R15C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R15C01_Red.idat
YS_094	YS_094	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R08C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R08C03_Red.idat
YS_095	YS_095	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R15C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R15C02_Red.idat
YS_107	YS_107	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R12C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R12C03_Red.idat
YS_113	YS_113	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R14C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R14C02_Red.idat
YS_121	YS_121	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R16C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R16C03_Red.idat
YS_133	YS_133	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R09C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R09C03_Red.idat
YS_135	YS_135	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R06C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R06C01_Red.idat
YS_140	YS_140	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R10C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R10C01_Red.idat
YS_141	YS_141	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R02C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R02C01_Red.idat
YS_142	YS_142	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R10C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R10C02_Red.idat
YS_143	YS_143	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R10C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R10C03_Red.idat
YS_145	YS_145	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R11C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R11C01_Red.idat
YS_147	YS_147	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R11C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R11C02_Red.idat
YS_149	YS_149	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R12C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R12C02_Red.idat
YS_158	YS_158	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R14C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R14C01_Red.idat
YS_163	YS_163	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R04C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R04C02_Red.idat
YS_165	YS_165	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R07C03_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R07C03_Red.idat
YS_174	YS_174	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R07C01_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R07C01_Red.idat
YS_175	YS_175	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R05C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R05C02_Red.idat
YS_178	YS_178	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R13C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R13C02_Red.idat
YS_193	YS_193	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R16C02_Grn.idat	/data/share/project/analysis/PJ20250702/result_revice_rawbeta_clock_msa/rawdata/208882820003_R16C02_Red.idat
